split	pdb_id	true	pred	error
train	1csi	5.79	7.56	+1.764
train	2qwd	4.85	5.72	+0.872
train	1csj	6.23	5.42	-0.815
train	2cle	3.55	5.14	+1.592
train	1azm	7.40	5.41	-1.994
train	1pa9	4.60	5.95	+1.351
train	4b5s	3.49	4.07	+0.584
train	3t2w	7.46	6.56	-0.902
train	4o0y	7.22	5.77	-1.453
train	4cd5	6.71	5.73	-0.980
train	1bdq	6.34	7.16	+0.817
train	6g29	4.33	5.74	+1.414
train	6i13	5.12	6.56	+1.440
train	4y5d	5.92	5.37	-0.546
train	1l83	3.40	4.89	+1.487
train	2qbr	6.33	6.71	+0.377
train	1x38	8.77	6.08	-2.689
train	4gr8	7.83	6.42	-1.410
train	3t09	3.80	4.08	+0.276
train	3cyw	7.77	9.94	+2.168
train	2w8j	2.96	6.25	+3.291
train	3su0	6.79	7.09	+0.296
train	2nsj	4.79	6.22	+1.425
train	3ggu	9.77	9.88	+0.107
train	1stp	6.52	7.45	+0.921
train	1iep	6.01	8.63	+2.621
train	2r9x	4.85	5.60	+0.753
train	3f16	8.23	6.57	-1.659
train	3rf5	5.63	5.00	-0.630
train	3uw5	7.85	6.84	-1.010
train	6f92	6.40	5.04	-1.358
train	3pbb	7.02	6.02	-1.000
train	1n46	10.52	5.91	-4.614
train	1bju	4.80	5.64	+0.843
train	6nco	4.52	4.98	+0.459
train	2q89	6.30	5.43	-0.870
train	5ih9	8.70	5.40	-3.303
train	5i2f	6.49	6.00	-0.493
train	5yum	3.65	4.93	+1.279
train	4r0a	4.26	5.83	+1.575
train	1jys	3.52	4.82	+1.305
train	5eyr	5.30	6.84	+1.537
train	2uxi	7.30	6.12	-1.176
train	6oqb	10.30	8.75	-1.552
train	6e23	10.00	6.02	-3.975
train	4i8n	4.46	6.39	+1.935
train	4q9o	5.77	5.33	-0.438
train	5d0c	5.63	6.47	+0.841
train	4bs0	5.70	4.51	-1.193
train	2yz3	6.66	6.35	-0.311
train	1coz	6.09	6.26	+0.176
train	6dil	8.12	7.08	-1.041
train	1f73	2.39	5.23	+2.838
train	5ovr	4.57	4.98	+0.408
train	2vnp	9.92	4.65	-5.270
train	6eog	5.80	5.03	-0.768
train	3fur	8.00	6.60	-1.395
train	1crp	5.94	7.07	+1.135
train	5fog	3.67	6.27	+2.595
train	4f6u	6.15	6.50	+0.348
train	6hke	7.68	4.80	-2.882
train	4ea2	6.44	5.70	-0.738
train	5x74	8.64	6.44	-2.202
train	1csu	6.16	5.75	-0.405
train	2pwr	6.59	7.23	+0.637
train	6e5t	6.55	5.34	-1.211
train	5zg3	7.21	7.70	+0.491
train	4tjz	5.97	5.50	-0.467
train	6hlx	7.17	5.81	-1.361
train	6haz	7.00	4.11	-2.888
train	3vf7	9.10	9.74	+0.640
train	3d52	3.28	5.67	+2.386
train	4ej8	5.39	5.19	-0.197
train	3f15	8.10	7.47	-0.627
train	3djq	2.98	5.86	+2.878
train	6qgf	6.00	6.29	+0.289
train	4cc5	4.42	4.67	+0.247
train	2i0a	11.40	9.64	-1.756
train	1cry	6.30	5.73	-0.573
train	6dh8	9.84	9.89	+0.053
train	1cum	6.38	5.75	-0.628
train	2ves	7.70	5.77	-1.929
train	2vl4	6.01	5.00	-1.005
train	4dfg	11.74	10.88	-0.856
train	6p85	4.99	5.08	+0.090
train	3vf5	9.34	9.69	+0.350
train	1ai5	3.72	5.04	+1.316
train	2xbw	8.00	6.58	-1.415
train	6nzv	10.17	7.85	-2.318
train	4ljh	4.71	6.03	+1.318
train	5fyx	4.16	6.40	+2.244
train	5fe7	3.31	5.44	+2.129
train	1e66	9.89	6.40	-3.485
train	2f9k	7.07	4.33	-2.738
train	2w8w	2.12	6.44	+4.316
train	5nn6	5.52	5.87	+0.352
train	2pqz	5.67	7.28	+1.615
train	3jrx	9.00	6.69	-2.309
train	4xaq	7.14	4.94	-2.204
train	4q0k	4.87	4.08	-0.786
train	1ie9	10.19	5.84	-4.346
train	1oba	2.44	4.99	+2.554
train	3t2q	3.66	5.40	+1.743
train	3hcm	3.30	6.29	+2.989
train	5zg1	7.72	6.36	-1.362
train	3s54	9.64	9.86	+0.224
train	5ueu	7.78	6.87	-0.908
train	3nyd	3.48	4.46	+0.984
train	3fvl	6.07	6.07	+0.001
train	1cpi	7.11	7.77	+0.659
train	5j3l	4.80	5.90	+1.101
train	4u6c	5.00	5.60	+0.595
train	5ka1	4.48	4.67	+0.192
train	4avh	7.23	6.84	-0.386
train	3sue	9.08	7.80	-1.278
train	3gi4	10.80	9.26	-1.543
train	2hjb	4.39	6.01	+1.622
train	1a99	5.70	5.24	-0.461
train	2wbg	4.45	6.26	+1.808
train	5fck	8.22	6.48	-1.743
train	5ot9	4.07	5.36	+1.291
train	1csh	6.30	6.82	+0.519
train	2ri9	3.22	4.76	+1.544
train	6ep4	5.35	5.53	+0.181
train	5oei	5.80	5.26	-0.536
train	5yh8	6.78	5.22	-1.559
train	4j45	5.77	4.85	-0.924
train	3o84	7.24	6.02	-1.221
train	5h1t	3.80	5.41	+1.610
train	4u43	4.32	5.21	+0.885
train	4pb2	4.80	6.06	+1.259
train	3c2r	3.11	4.79	+1.677
train	2jgs	6.62	6.60	-0.015
train	5upj	7.12	5.88	-1.237
train	4w9i	5.96	6.69	+0.727
train	1moq	3.46	5.83	+2.367
train	1qk4	4.21	5.42	+1.209
train	1x39	9.22	6.31	-2.907
train	5my8	7.14	5.71	-1.433
train	1hpv	9.22	9.62	+0.398
train	1css	6.45	6.91	+0.457
train	1cuq	6.23	4.69	-1.544
train	1cps	6.09	6.70	+0.612
train	3cj4	6.51	6.35	-0.156
train	3n86	5.64	4.96	-0.678
train	2f8g	8.70	9.89	+1.185
train	1ps3	2.28	5.99	+3.715
train	2wc3	6.08	6.49	+0.406
train	4x8u	2.46	5.57	+3.111
train	1csz	6.01	6.36	+0.345
train	1ctq	6.01	6.47	+0.460
train	3wz6	5.96	5.50	-0.464
train	1ctm	5.94	5.76	-0.174
train	6d9x	3.49	5.70	+2.212
train	2ovy	8.40	5.55	-2.848
train	3umq	4.62	4.87	+0.255
train	3lzs	10.96	9.85	-1.109
train	5b5f	5.25	6.07	+0.819
train	2qnq	6.11	7.35	+1.236
train	3l0v	7.64	5.94	-1.704
train	4dhl	4.48	4.79	+0.311
train	1tmn	6.23	6.55	+0.318
train	1xgi	4.85	6.07	+1.221
train	2x91	6.74	7.25	+0.508
train	4bt5	2.76	4.26	+1.496
train	4avj	7.44	6.97	-0.467
train	5j7q	4.58	5.53	+0.952
train	186l	4.85	6.83	+1.979
train	6n3w	5.81	7.17	+1.359
train	5a5q	4.68	5.85	+1.172
train	3kdd	8.46	7.82	-0.637
train	3w5n	3.87	4.77	+0.901
train	2psu	7.62	9.99	+2.368
train	4pvx	6.76	5.35	-1.408
train	6f9g	5.70	5.37	-0.334
train	4bt3	3.12	4.26	+1.140
train	6arn	5.19	5.54	+0.348
train	5ufp	7.37	6.65	-0.722
train	3nu5	8.35	9.59	+1.241
train	4q1x	11.15	9.85	-1.298
train	3fql	7.15	6.14	-1.010
train	1nhu	5.66	6.94	+1.282
train	3zhx	6.68	4.97	-1.708
train	4b73	7.21	6.66	-0.551
train	4zyf	8.64	7.13	-1.512
train	2b4l	4.77	4.97	+0.196
train	5b25	10.24	7.02	-3.223
train	3v2n	6.10	5.45	-0.651
train	5yfs	4.86	5.22	+0.359
train	1atn	6.09	5.92	-0.168
train	4iie	2.34	4.45	+2.107
train	4zow	4.12	6.28	+2.161
train	6d1b	3.91	5.60	+1.688
train	1qbu	10.24	6.99	-3.253
train	1ctj	6.30	6.53	+0.223
train	3sww	8.40	6.58	-1.825
train	1k9s	6.52	4.91	-1.611
train	5ld8	8.05	7.45	-0.596
train	5u6j	7.64	6.98	-0.665
train	4x5z	7.63	7.08	-0.546
train	4qfp	4.23	4.77	+0.544
train	4s1g	9.22	7.14	-2.082
train	1m0o	2.31	5.11	+2.804
train	5edd	5.24	6.32	+1.076
train	1pzi	4.22	5.53	+1.310
train	1kmy	5.10	5.61	+0.511
train	6iht	5.21	5.60	+0.394
train	6d55	7.36	5.60	-1.760
train	4kqp	6.05	4.61	-1.436
train	2qdt	5.19	5.07	-0.118
train	3t1m	3.04	6.36	+3.324
train	2q7q	5.30	5.59	+0.294
train	4lko	8.22	6.36	-1.855
train	3ddg	6.00	7.74	+1.736
train	2cex	4.70	5.93	+1.227
train	6epa	5.95	6.65	+0.697
train	1m2x	4.15	5.33	+1.176
train	1hvj	6.45	8.82	+2.366
train	2vrj	6.30	7.34	+1.040
train	1srg	5.30	4.99	-0.313
train	3nuo	9.80	9.50	-0.296
train	3su3	9.13	7.92	-1.205
train	2hs1	8.48	9.86	+1.376
train	4aia	3.66	5.23	+1.571
train	4tpw	4.69	6.26	+1.567
train	6ayo	8.29	7.69	-0.602
train	5d2r	5.82	6.58	+0.760
train	1yqy	7.62	7.69	+0.068
train	4x8v	6.89	6.65	-0.242
train	5evd	5.00	5.82	+0.818
train	5zg0	7.09	6.51	-0.578
train	3nht	7.01	5.96	-1.053
train	4wkn	9.72	7.71	-2.007
train	2r43	6.00	7.61	+1.606
train	4kz4	4.15	5.62	+1.467
train	5tcj	7.38	6.16	-1.220
train	1hi3	4.19	5.63	+1.442
train	3vfa	9.19	9.76	+0.572
train	4a95	5.76	6.92	+1.157
train	4bkt	3.62	5.79	+2.174
train	5d45	6.92	7.63	+0.706
train	2vjx	4.96	6.25	+1.290
train	2fzk	3.60	5.57	+1.971
train	5nvx	7.05	6.54	-0.512
train	3e3c	5.62	5.63	+0.006
train	3ehy	5.85	6.54	+0.689
train	1jmg	6.07	6.17	+0.103
train	3p3r	7.25	5.36	-1.892
train	1cte	6.16	4.91	-1.248
train	5aba	2.98	5.14	+2.165
train	4n7u	6.29	5.84	-0.451
train	6ajr	4.31	4.79	+0.478
train	1os5	6.85	6.63	-0.225
train	4lzs	4.80	5.88	+1.083
train	5upe	8.05	6.69	-1.355
train	1cqp	6.30	5.38	-0.922
train	6d50	5.05	5.60	+0.547
train	4epy	3.47	6.42	+2.953
train	2qbq	7.44	6.71	-0.725
train	3u5l	6.19	6.25	+0.064
train	6dyy	10.55	8.82	-1.725
train	5w44	6.44	6.91	+0.473
train	1pgp	5.70	5.38	-0.321
train	3g35	4.68	4.84	+0.161
train	4crl	9.71	7.57	-2.141
train	4z0k	6.34	5.70	-0.640
train	3g2y	2.00	4.51	+2.509
train	3k8q	11.28	7.12	-4.156
train	2rkm	3.90	5.69	+1.792
train	1a1e	6.09	6.59	+0.503
train	4qfo	4.27	5.36	+1.091
train	1rnm	3.07	5.96	+2.894
train	1lgt	6.10	4.79	-1.306
train	3rlb	9.92	5.32	-4.600
train	4lm3	2.92	5.42	+2.495
train	6p8a	3.59	6.05	+2.463
train	4ghi	7.09	5.50	-1.593
train	3zj6	6.66	5.48	-1.182
train	4tu4	3.76	6.02	+2.264
train	4p5d	5.82	4.63	-1.192
train	1ajq	4.31	6.84	+2.532
train	4kwg	6.00	5.18	-0.819
train	3nx7	8.10	6.67	-1.435
train	5zyg	5.21	6.07	+0.863
train	6j0o	4.92	6.29	+1.374
train	6ayi	6.68	5.58	-1.100
train	2vo4	4.94	4.73	-0.213
train	2aac	2.22	5.06	+2.837
train	1ctz	6.38	5.74	-0.636
train	4c6u	4.59	5.44	+0.848
train	1olx	4.33	5.86	+1.534
train	3f19	7.19	5.72	-1.470
train	3d8z	3.37	5.96	+2.588
train	3ps1	10.17	7.67	-2.504
train	5nw1	6.60	6.44	-0.162
train	4av4	7.03	6.28	-0.753
train	1csn	6.16	5.80	-0.356
train	5m17	3.66	5.20	+1.543
train	1g2k	7.96	7.17	-0.786
train	6r1d	5.40	6.87	+1.468
train	3ip9	5.62	5.17	-0.448
train	1px4	3.23	4.19	+0.963
train	3e5u	5.85	5.44	-0.410
train	1kav	5.82	4.76	-1.063
train	3b5r	8.77	7.23	-1.536
train	6g2r	9.46	5.70	-3.761
train	2xd9	6.46	6.64	+0.177
train	4x50	7.75	6.20	-1.552
train	5jxq	8.15	5.76	-2.394
train	3rbu	9.43	5.05	-4.380
train	3jup	5.58	5.60	+0.023
train	1cpg	6.01	6.52	+0.510
train	2hb1	3.80	5.50	+1.698
train	1hee	5.34	6.34	+0.998
train	3b67	8.85	6.49	-2.365
train	5kej	5.11	6.04	+0.932
train	5e74	4.41	4.63	+0.219
train	6dyv	10.59	8.74	-1.854
train	3n7o	7.14	5.87	-1.268
train	6ge7	6.06	5.58	-0.483
train	4fxq	5.77	6.21	+0.442
train	1cbx	6.35	6.08	-0.270
train	5lsg	5.40	5.29	-0.108
train	4y0a	2.31	5.35	+3.038
train	1csv	5.94	5.75	-0.189
train	3zsq	4.96	7.64	+2.684
train	1fzq	7.62	6.05	-1.569
train	3wjw	3.87	5.78	+1.910
train	6gj6	4.70	5.96	+1.265
train	4bj8	8.29	6.52	-1.771
train	5m7s	9.05	5.80	-3.252
train	185l	3.54	5.11	+1.572
train	2vzr	4.28	5.01	+0.731
train	1cqi	6.16	6.01	-0.144
train	2jdu	6.72	4.91	-1.810
train	4c52	5.68	7.94	+2.262
train	6fhu	2.64	4.55	+1.911
train	6hgi	6.22	5.53	-0.693
train	1lgw	4.00	5.35	+1.349
train	4fai	6.99	6.39	-0.597
train	1coy	5.79	6.88	+1.084
train	6r18	4.92	6.52	+1.597
train	1b6l	8.30	6.89	-1.414
train	5dx4	6.86	5.69	-1.174
train	1lbf	7.85	5.89	-1.964
train	3f8c	7.68	5.39	-2.294
train	2ot1	4.00	5.01	+1.005
train	5kh3	4.22	5.64	+1.421
train	2ovv	7.92	5.66	-2.263
train	3zso	5.12	6.63	+1.509
train	2j47	5.41	6.73	+1.315
train	4zae	8.44	6.17	-2.271
train	3b7j	5.17	4.60	-0.569
train	1fkg	8.00	7.51	-0.494
train	5cp5	5.91	5.67	-0.237
train	1cil	5.57	6.73	+1.154
train	6n79	9.68	5.57	-4.109
train	4pqa	5.55	5.42	-0.126
train	1crz	5.94	5.54	-0.400
train	2hah	8.00	8.94	+0.938
train	2o8h	7.60	5.36	-2.237
train	4tkh	5.74	5.23	-0.513
train	3o9e	11.30	10.12	-1.177
train	6gfs	6.54	5.57	-0.974
train	4tte	3.69	5.03	+1.341
train	4rsk	4.32	5.95	+1.629
train	6g2f	5.17	4.22	-0.949
train	5kr1	9.49	10.81	+1.316
train	6dz2	8.85	10.08	+1.233
train	6d1d	4.47	4.41	-0.056
train	6e1z	3.82	5.27	+1.453
train	5m7u	8.10	7.39	-0.710
train	4yc0	4.13	4.70	+0.567
train	2sim	3.42	5.95	+2.526
train	4re2	4.98	5.66	+0.678
train	6d5h	6.92	6.11	-0.812
train	1csw	6.38	5.74	-0.636
train	6ma2	5.39	5.04	-0.352
train	5g1z	5.32	5.09	-0.233
train	4nra	4.19	6.37	+2.182
train	1qbs	9.47	6.60	-2.869
train	1tcx	6.95	7.11	+0.164
train	1cty	6.01	5.76	-0.252
train	3uxd	4.41	4.44	+0.031
train	3m3z	5.73	6.51	+0.778
train	3o75	6.68	6.03	-0.645
train	2zy1	7.40	6.48	-0.920
train	1axo	5.43	5.39	-0.032
train	3dx2	6.82	4.72	-2.101
train	4u8w	11.24	10.69	-0.552
train	4i7m	4.14	5.37	+1.232
train	1cqj	5.94	6.02	+0.082
train	1yvm	6.40	4.85	-1.547
train	3pgu	6.70	5.63	-1.071
train	2wvt	6.12	5.27	-0.848
train	3gta	4.28	7.37	+3.093
train	6t1j	4.74	6.56	+1.822
train	2d3u	6.92	6.42	-0.499
train	3g30	2.51	6.78	+4.269
train	4cfl	5.88	5.95	+0.068
train	4i71	7.74	5.70	-2.040
train	4kwf	4.82	6.86	+2.036
train	1a9q	6.17	4.80	-1.373
train	3p3t	7.24	6.05	-1.191
train	1bra	6.01	5.74	-0.276
train	6r1a	4.35	5.89	+1.538
train	1nja	6.31	6.39	+0.080
train	3k8o	11.07	5.01	-6.055
train	6d1h	3.72	4.66	+0.944
train	1r9l	5.40	4.84	-0.562
train	3nq3	3.78	5.61	+1.828
train	5k1f	4.79	5.54	+0.755
train	1cot	5.94	5.76	-0.175
train	6qlq	4.51	4.47	-0.042
train	3fx6	6.80	5.82	-0.985
train	5cep	6.84	6.01	-0.829
train	3ttp	9.12	9.95	+0.825
train	1ws1	9.55	8.53	-1.022
train	3ejq	8.57	7.35	-1.219
train	1fm9	9.00	7.97	-1.029
train	4w9c	4.65	7.05	+2.395
train	3a6t	7.28	6.07	-1.205
train	5bs4	11.00	10.70	-0.300
train	1cup	6.74	4.54	-2.209
train	2fu8	4.70	5.26	+0.559
train	1csm	6.01	5.72	-0.294
train	2vb8	4.60	3.74	-0.864
train	4u71	5.22	5.26	+0.039
train	4jxs	4.74	6.85	+2.112
train	4dzy	5.62	5.99	+0.366
train	2q8z	5.68	4.78	-0.895
train	1csx	6.09	5.76	-0.328
train	1uz1	6.89	6.50	-0.388
train	4ayp	6.12	4.89	-1.225
train	4lm1	3.23	5.32	+2.092
train	4y3j	2.17	5.81	+3.640
train	3pck	6.70	4.63	-2.067
train	1phw	3.30	6.02	+2.722
train	3ao4	2.07	5.83	+3.763
train	2j7e	7.32	5.74	-1.581
train	6n7b	9.22	6.75	-2.469
train	5lz7	6.28	6.60	+0.322
train	5zyl	7.06	6.58	-0.480
train	5mro	5.70	6.47	+0.769
train	3pgl	5.30	6.78	+1.476
train	2buv	4.00	4.88	+0.885
train	5epn	8.66	7.12	-1.540
train	3gvb	2.59	5.46	+2.866
train	2i80	5.40	5.76	+0.356
train	5ko5	4.57	4.89	+0.322
train	3gst	6.72	6.55	-0.173
train	5dbm	6.46	5.39	-1.069
train	1crr	6.09	7.06	+0.974
train	6e9a	11.92	9.66	-2.255
train	4k7o	4.30	4.75	+0.448
train	3acx	5.70	6.75	+1.053
train	2xp7	5.77	5.66	-0.107
train	5yft	5.00	5.18	+0.179
train	2zcq	8.82	6.90	-1.920
train	1cqx	5.94	6.57	+0.627
train	6d5j	6.34	6.86	+0.518
train	1ecq	3.00	5.35	+2.345
train	4q4q	5.79	5.38	-0.415
train	4yrd	4.57	4.83	+0.256
train	5dh5	9.64	7.49	-2.152
train	4q4p	6.39	5.51	-0.881
train	4ceb	2.97	9.70	+6.729
train	6dy7	4.18	6.48	+2.303
train	4fht	6.17	4.85	-1.317
train	4yzu	5.05	5.59	+0.537
train	6ht1	7.11	7.45	+0.341
train	2whp	4.00	5.34	+1.340
train	2jfz	5.24	7.15	+1.907
train	5zym	5.77	6.72	+0.951
train	4ly9	8.15	7.41	-0.735
train	4r4c	5.54	7.07	+1.533
train	1ndw	5.23	5.84	+0.612
train	2oym	5.00	5.94	+0.937
train	2yek	7.21	7.01	-0.198
train	5ceq	7.38	5.99	-1.385
train	1crg	5.87	5.77	-0.098
train	2hzl	6.57	4.33	-2.244
train	5edc	7.66	6.28	-1.375
train	1lee	7.74	8.89	+1.152
train	1lbk	3.18	4.94	+1.764
train	5qqp	8.28	6.59	-1.693
train	4iif	5.18	5.16	-0.015
train	3cd7	7.84	6.12	-1.716
train	6ayr	8.39	8.39	+0.002
train	1ciw	6.38	5.40	-0.982
train	5eq1	4.68	4.92	+0.242
train	3wzn	7.00	6.53	-0.469
train	3pwk	3.35	4.81	+1.463
train	3n2v	7.51	6.54	-0.966
train	2r38	7.44	7.22	-0.222
train	5wuk	7.85	6.75	-1.105
train	1a30	4.30	6.24	+1.938
train	1o0f	5.30	5.49	+0.194
train	1cqd	6.45	5.39	-1.058
train	3zi0	7.40	4.46	-2.936
train	5fs5	6.69	6.83	+0.139
train	5d0r	6.37	4.72	-1.654
train	4ymq	5.80	6.56	+0.757
train	6ced	5.82	6.20	+0.379
train	2za0	6.64	5.13	-1.510
train	5eqy	8.00	5.78	-2.217
train	6qlr	4.82	4.40	-0.415
train	6rnt	2.37	5.68	+3.312
train	5nvw	6.77	6.43	-0.342
train	4kz6	3.10	5.07	+1.973
train	4qpd	7.82	6.04	-1.778
train	2xc4	8.05	6.78	-1.273
train	2flr	6.10	5.78	-0.318
train	5vh0	4.52	5.02	+0.501
train	1cgo	6.52	5.69	-0.833
train	1b8y	7.85	7.65	-0.201
train	4cst	8.89	5.90	-2.990
train	6jay	5.70	7.10	+1.396
train	6d1k	3.13	5.01	+1.875
train	1e6q	3.15	5.19	+2.044
train	5hvt	7.26	5.79	-1.474
train	5xo7	6.36	4.65	-1.706
train	5jfu	8.07	11.36	+3.294
train	1cet	2.89	7.19	+4.301
train	2vwo	7.51	6.89	-0.619
train	4bt4	3.34	4.28	+0.938
train	5e2o	8.70	5.27	-3.427
train	4y4j	2.47	5.02	+2.546
train	6p88	4.52	5.61	+1.090
train	4o0x	7.17	4.86	-2.307
train	3f78	3.10	4.48	+1.380
train	4gu6	7.36	6.19	-1.169
train	3mf5	5.36	7.45	+2.093
train	3sm2	9.70	9.57	-0.129
train	1cqs	6.38	5.64	-0.737
train	3acw	4.76	6.02	+1.259
